OBJECTID,NAME,MUNI_TYPE,MUNITYCODE,COUNTY,GNIS_ID,FIPS_CODE,SWIS,POP1990,POP2000,POP2010,POP2020,DOS_LL,DOSLL_DATE,MAP_SYMBOL,CALC_SQ_MI,DATEMOD
927,Wappinger,town,2,Dutchess,979595,3602778157,135600,26008,26274,27048,28216,,,T,28.51941316,2010/08/12 00:00:00+00
928,Ward,town,2,Allegany,979596,3600378201,026800,334,390,368,334,,,T,29.19712244,
929,Warren,town,2,Herkimer,979597,3604378278,215200,1077,1136,1143,1029,,,T,37.84652664,2017/06/28 00:00:00+00
930,Warrensburg,town,2,Warren,979598,3611378300,524000,4174,4255,4094,3959,,,T,64.40824507,2018/12/03 00:00:00+00
931,Warsaw,town,2,Wyoming,979599,3612178344,564800,5342,5423,5064,5316,,,T,35.47877969,
932,Warwick,town,2,Orange,979600,3607178366,335400,27193,30764,32065,32027,,,T,105.53651923,2019/10/04 00:00:00+00
933,Washington,town,2,Dutchess,979601,3602778388,135800,4479,4742,4741,4522,,,T,58.77861685,2010/08/12 00:00:00+00
934,Waterford,town,2,Saratoga,979602,3609178531,415400,8695,8515,8423,8208,,,T,7.50156633,2017/11/10 00:00:00+00
935,Waterloo,town,2,Seneca,979603,3609978564,453800,7765,7866,7642,7378,,,T,21.79367898,2018/11/13 00:00:00+00
936,Watertown,city,1,Jefferson,979604,3604578608,221800,29429,26705,27023,24685,12-2005,2005/12/22 00:00:00+00,1,9.39321177,2016/03/31 00:00:00+00
937,Watertown,town,2,Jefferson,979605,3604578619,225800,4341,4482,4470,5913,,,T,35.82980404,2018/11/06 00:00:00+00
938,Watervliet,city,1,Albany,979606,3600178674,011800,11061,10207,10254,10375,,,2,1.47637196,2016/04/27 00:00:00+00
939,Watson,town,2,Lewis,979607,3604978729,235200,1613,1987,1881,1802,,,T,117.24705,2018/11/08 00:00:00+00
940,Waverly,town,2,Franklin,979608,3603378795,165400,1068,1118,1022,963,,,T,126.10303234,2018/07/24 00:00:00+00
941,Wawarsing,town,2,Ulster,979609,3611178828,515600,12348,12889,13157,12771,,,T,134.54259771,2018/10/09 00:00:00+00
942,Wawayanda,town,2,Orange,979610,3607178839,335600,5518,6273,7266,7534,,,T,35.16476274,2017/10/25 00:00:00+00
943,Wayland,town,2,Steuben,979611,3610178861,467400,4311,4314,4102,3732,,,T,39.51480634,2018/03/01 00:00:00+00
944,Wayne,town,2,Steuben,979612,3610178883,467600,1029,1165,1041,1009,,,T,22.6121354,2018/03/01 00:00:00+00
945,Webb,town,2,Herkimer,979613,3604378927,215400,1637,1912,1807,1797,,,T,484.15435544,2017/06/28 00:00:00+00
946,Webster,town,2,Monroe,979614,3605578971,265400,31639,37926,42641,45327,,,T,34.60765514,2017/06/13 00:00:00+00
947,Wells,town,2,Hamilton,979615,3604179059,203600,706,737,674,683,,,T,178.24612223,
948,Wellsville,town,2,Allegany,979616,3600379103,027000,8116,7678,7397,7064,,,T,36.70766138,
949,West Almond,town,2,Allegany,979617,3600379202,027200,277,353,334,274,,,T,36.08267799,
950,West Bloomfield,town,2,Ontario,979618,3606979356,325000,2536,2549,2466,2740,,,T,25.39036562,2018/02/08 00:00:00+00
951,West Monroe,town,2,Oswego,979623,3607580500,356000,4393,4428,4252,4088,,,T,38.62270492,
952,West Seneca,town,2,Erie,979626,3602980918,146800,47830,45920,44711,45500,,,T,21.44149382,2017/11/20 00:00:00+00
953,West Sparta,town,2,Livingston,979627,3605181006,245000,1335,1244,1255,1156,,,T,33.43755713,2018/01/25 00:00:00+00
954,West Turin,town,2,Lewis,979628,3604981094,235400,1753,1674,1524,1692,,,T,102.55479052,2018/11/08 00:00:00+00
955,West Union,town,2,Steuben,979629,3610181105,467800,412,399,312,343,,,T,41.01953641,2019/04/26 00:00:00+00
956,Westerlo,town,2,Albany,979619,3600179851,013800,3325,3466,3361,3194,,,T,58.52416176,2017/11/10 00:00:00+00
957,Western,town,2,Oneida,979620,3606579862,306600,2057,2029,1951,1831,,,T,54.48923632,2017/10/06 00:00:00+00
958,Westfield,town,2,Chautauqua,979621,3601379950,067200,5194,5232,4896,4553,,,T,47.39759466,
959,Westford,town,2,Otsego,979622,3607779972,366400,634,784,868,804,,,T,34.05812575,2018/02/13 00:00:00+00
960,Westmoreland,town,2,Oneida,979624,3606580533,306800,5737,6207,6138,5924,,,T,43.17415118,2017/06/28 00:00:00+00
961,Westport,town,2,Essex,979625,3603180775,155000,1446,1362,1312,1320,,,T,66.69360702,
962,Westville,town,2,Franklin,979630,3603381215,165600,1620,1823,1819,1757,,,T,34.7723159,2018/07/24 00:00:00+00
963,Wethersfield,town,2,Wyoming,979631,3612181325,565000,794,891,883,755,,,T,36.14850755,
964,Wheatfield,town,2,Niagara,979632,3606381380,294000,11125,14086,18117,18638,,,T,28.82658885,2018/02/01 00:00:00+00
965,Wheatland,town,2,Monroe,979633,3605581402,265600,5093,5149,4775,4897,,,T,30.73351198,2017/12/22 00:00:00+00
966,Wheeler,town,2,Steuben,979634,3610181457,468000,1084,1263,1260,1136,,,T,46.23904793,2018/03/01 00:00:00+00
967,White Creek,town,2,Washington,979635,3611581578,535000,3196,3411,3356,3275,,,T,46.96897358,2018/09/06 00:00:00+00
968,White Plains,city,1,Westchester,979637,3611981677,551700,48718,53077,56853,59559,,,1,9.89042287,2005/12/27 00:00:00+00
969,Whitehall,town,2,Washington,979636,3611581633,535200,4409,4035,4042,4023,,,T,58.59877573,2018/09/06 00:00:00+00
970,Whitestown,town,2,Oneida,979638,3606581754,307000,18985,18635,18667,18118,,,T,27.41830902,2017/10/06 00:00:00+00
971,Willet,town,2,Cortland,979639,3602381963,114800,892,1011,1043,894,,,T,26.03746073,2018/07/18 00:00:00+00
972,Williamson,town,2,Wayne,979640,3611782040,544600,6540,6777,6984,6860,,,T,34.71008178,2018/09/12 00:00:00+00
973,Williamstown,town,2,Oswego,979641,3607582073,356200,1279,1350,1277,1335,,,T,39.12516604,2018/03/12 00:00:00+00
974,Willing,town,2,Allegany,979642,3600382095,027400,1428,1371,1228,1281,,,T,36.37982929,2019/04/26 00:00:00+00
975,Willsboro,town,2,Essex,979643,3603182271,155200,1736,1903,2025,1905,,,T,73.48108435,
976,Wilmington,town,2,Essex,979644,3603182315,155400,1020,1131,1253,1139,,,T,65.46099985,
977,Wilna,town,2,Jefferson,979645,3604582348,226000,6899,6235,6427,5732,,,T,79.02368525,
978,Wilson,town,2,Niagara,979646,3606382370,294200,5761,5840,5993,5847,,,T,49.46727432,
979,Wilton,town,2,Saratoga,979647,3609182403,415600,10623,12511,16173,17361,,,T,35.82314893,
980,Windham,town,2,Greene,979648,3603982480,194600,1682,1660,1703,1708,,,T,45.13450652,2020/05/19 00:00:00+00
981,Windsor,town,2,Broome,979649,3600782535,035000,6440,6421,6274,5804,,,T,92.65039339,2019/04/26 00:00:00+00
982,Winfield,town,2,Herkimer,979650,3604382568,215600,2146,2202,2086,1897,,,T,23.48610809,2018/03/09 00:00:00+00
983,Wirt,town,2,Allegany,979651,3600382623,027600,1143,1215,1111,1049,,,T,36.01153675,
984,Wolcott,town,2,Wayne,979652,3611782689,544800,4283,4692,4453,4002,,,T,39.81836669,2018/09/12 00:00:00+00
985,Woodbury,town,2,Orange,979653,3607182755,335800,8236,9460,11353,12197,,,T,37.51601739,2019/06/19 00:00:00+00
986,Woodhull,town,2,Steuben,979654,3610182843,468200,1518,1524,1719,1665,,,T,55.37545748,2019/04/26 00:00:00+00
987,Woodstock,town,2,Ulster,979655,3611183052,515800,6290,6241,5884,6287,,,T,68.25751225,2018/10/09 00:00:00+00
988,Worcester,town,2,Otsego,979656,3607783129,366600,2070,2207,2220,2112,,,T,46.68293496,2018/02/13 00:00:00+00
989,Worth,town,2,Jefferson,979657,3604583162,226200,219,234,231,198,,,T,43.21283205,2018/11/06 00:00:00+00
990,Wright,town,2,Schoharie,979658,3609583195,435000,1385,1547,1539,1516,,,T,28.6545647,2017/11/27 00:00:00+00
991,Yates,town,2,Orleans,979659,3607383448,343800,2497,2510,2559,2567,,,T,37.43268022,2018/02/12 00:00:00+00
992,Yonkers,city,1,Westchester,979660,3611984000,551800,188082,196086,195976,211569,,,1,20.24355964,2019/10/04 00:00:00+00
993,York,town,2,Livingston,979661,3605184022,245200,3513,3219,3397,3182,,,T,49.09338235,2018/01/25 00:00:00+00
994,Yorkshire,town,2,Cattaraugus,979662,3600984055,048400,3905,4210,3913,3827,,,T,37.04613233,
995,Yorktown,town,2,Westchester,979663,3611984077,555400,33467,36318,36081,36569,,,T,39.45092165,
