Fiscal Year Ending,Roll Year,SWIS,Municipality,Village,County,School Code,School Name,Type of Value on which Tax Rates are applied,County Tax Levy,County Tax Rate Outside Village (per $1000 value),Municipality Tax Levy,Municipal Tax Rate Outside Village (per $1000 value),School District Tax Levy,School District Tax Rate (per $1000 value),Village Tax Rate (per $1000 value)
2022,2021,94200,Plattsburgh,,Clinton,92401,Beekmantown,Full Value,"7,262,652",4.03,"4,185,563",3.14,"14,543,961",16.72,
2022,2021,94200,Plattsburgh,,Clinton,94001,Peru,Full Value,"7,262,652",4.03,"4,185,563",3.14,"4,631,679",18.83,
2022,2021,94200,Plattsburgh,,Clinton,94401,Saranac,Full Value,"7,262,652",4.03,"4,185,563",3.14,"4,768,298",19.47,
2022,2021,94400,Saranac,,Clinton,93601,Northern Adirondack,Full Value,"686,059",4.03,"1,568,866",6.1,"58,564",18.00,
2022,2021,94400,Saranac,,Clinton,94001,Peru,Full Value,"686,059",4.03,"1,568,866",6.1,"5,619",18.83,
2022,2021,94400,Saranac,,Clinton,94401,Saranac,Full Value,"686,059",4.03,"1,568,866",6.1,"5,099,251",19.46,
2022,2021,94600,Schuyler Falls,,Clinton,94001,Peru,Full Value,"756,296",4.03,"1,239,108",4.1,"3,437,272",18.83,
2022,2021,94600,Schuyler Falls,,Clinton,94401,Saranac,Full Value,"756,296",4.03,"1,239,108",4.1,"2,666,210",19.46,
2022,2021,100600,Hudson,,Columbia,100600,Hudson,Full Value,"3,600,044",4.93,"5,452,273",7.11,"9,457,774",12.31,
2022,2021,102000,Ancram,,Columbia,102801,Taconic Hills,Full Value,"1,774,353",4.93,"718,920",2.03,"1,640,107",10.26,
2022,2021,102000,Ancram,,Columbia,103602,Germantown,Full Value,"1,774,353",4.93,"718,920",2.03,"28,359",11.84,
2022,2021,102000,Ancram,,Columbia,133801,Northeast,Full Value,"1,774,353",4.93,"718,920",2.03,"210,643",10.97,
2022,2021,102000,Ancram,,Columbia,134201,Pine Plains,Full Value,"1,774,353",4.93,"718,920",2.03,"2,251,020",12.94,
2022,2021,102200,Austerlitz,,Columbia,102801,Taconic Hills,Full Value,"2,312,553",4.93,"682,059",1.45,"1,335,162",10.26,
2022,2021,102200,Austerlitz,,Columbia,103801,Chatham,Full Value,"2,312,553",4.93,"682,059",1.45,"4,988,282",14.61,
2022,2021,102400,Canaan,,Columbia,103801,Chatham,Full Value,"2,017,214",4.93,"674,109",1.68,"4,051,006",14.61,
2022,2021,102400,Canaan,,Columbia,104801,New Lebanon,Full Value,"2,017,214",4.93,"674,109",1.68,"1,547,456",12.26,
2022,2021,102600,Chatham,,Columbia,103801,Chatham,Full Value,"3,709,486",4.93,"1,892,796",2.53,"7,070,076",14.61,
2022,2021,102600,Chatham,,Columbia,104401,Kinderhook,Full Value,"3,709,486",4.93,"1,892,796",2.53,"1,619,751",16.77,
2022,2021,102600,Chatham,,Columbia,104801,New Lebanon,Full Value,"3,709,486",4.93,"1,892,796",2.53,"2,114,301",12.26,
2022,2021,102600,Chatham,,Columbia,382401,East Greenbush,Full Value,"3,709,486",4.93,"1,892,796",2.53,"18,618",17.85,
2022,2021,102800,Claverack,,Columbia,100600,Hudson,Full Value,"3,671,966",4.93,"868,200",1.13,"3,467,213",12.31,
2022,2021,102800,Claverack,,Columbia,102801,Taconic Hills,Full Value,"3,671,966",4.93,"868,200",1.13,"5,082,061",10.26,
2022,2021,103000,Clermont,,Columbia,103602,Germantown,Full Value,"1,319,787",4.93,"104,580",0.38,"1,546,147",11.84,
2022,2021,103000,Clermont,,Columbia,134201,Pine Plains,Full Value,"1,319,787",4.93,"104,580",0.38,"258,549",12.94,
2022,2021,103000,Clermont,,Columbia,134801,Red Hook,Full Value,"1,319,787",4.93,"104,580",0.38,"2,715,822",21.40,
2022,2021,103200,Copake,,Columbia,102801,Taconic Hills,Full Value,"3,909,326",4.93,"1,143,182",1.48,"7,964,650",10.26,
2022,2021,103400,Gallatin,,Columbia,102801,Taconic Hills,Full Value,"1,664,818",4.93,"352,919",1.03,"72,620",10.26,
2022,2021,103400,Gallatin,,Columbia,103602,Germantown,Full Value,"1,664,818",4.93,"352,919",1.03,"1,370,983",11.84,
2022,2021,103400,Gallatin,,Columbia,134201,Pine Plains,Full Value,"1,664,818",4.93,"352,919",1.03,"2,891,027",12.94,
2022,2021,103600,Germantown,,Columbia,103602,Germantown,Full Value,"1,727,072",4.93,"586,735",1.68,"4,211,297",11.84,
2022,2021,103800,Ghent,,Columbia,100600,Hudson,Full Value,"3,308,996",4.93,"788,768",1.2,"494,131",12.31,
2022,2021,103800,Ghent,,Columbia,102801,Taconic Hills,Full Value,"3,308,996",4.93,"788,768",1.2,"1,331,362",10.26,
2022,2021,103800,Ghent,,Columbia,103801,Chatham,Full Value,"3,308,996",4.93,"788,768",1.2,"6,167,560",14.61,
2022,2021,103800,Ghent,,Columbia,104401,Kinderhook,Full Value,"3,308,996",4.93,"788,768",1.2,"1,229,093",16.77,
2022,2021,104000,Greenport,,Columbia,100600,Hudson,Full Value,"2,761,139",4.93,"2,611,067",4.55,"7,110,564",12.31,
2022,2021,104200,Hillsdale,,Columbia,102801,Taconic Hills,Full Value,"2,464,537",4.93,"1,021,939",2.05,"5,142,353",10.26,
2022,2021,104400,Kinderhook,,Columbia,103801,Chatham,Full Value,"4,706,111",4.93,"1,475,869",1.57,"653,641",14.61,
2022,2021,104400,Kinderhook,,Columbia,104401,Kinderhook,Full Value,"4,706,111",4.93,"1,475,869",1.57,"15,241,795",16.77,
2022,2021,104600,Livingston,,Columbia,100600,Hudson,Full Value,"2,202,552",4.93,"608,200",1.36,"1,817,126",12.31,
2022,2021,104600,Livingston,,Columbia,102801,Taconic Hills,Full Value,"2,202,552",4.93,"608,200",1.36,"99,089",10.26,
2022,2021,104600,Livingston,,Columbia,103602,Germantown,Full Value,"2,202,552",4.93,"608,200",1.36,"2,083,408",11.84,
2022,2021,104600,Livingston,,Columbia,134201,Pine Plains,Full Value,"2,202,552",4.93,"608,200",1.36,"951,632",12.94,
2022,2021,104600,Livingston,,Columbia,134801,Red Hook,Full Value,"2,202,552",4.93,"608,200",1.36,"956,302",21.40,
2022,2021,104800,New Lebanon,,Columbia,103801,Chatham,Full Value,"1,540,706",4.93,"887,152",2.87,"312,645",14.61,
2022,2021,104800,New Lebanon,,Columbia,104801,New Lebanon,Full Value,"1,540,706",4.93,"887,152",2.87,"3,568,315",12.26,
2022,2021,105000,Stockport,,Columbia,100600,Hudson,Full Value,"999,761",4.93,"669,351",3.27,"722,754",12.31,
2022,2021,105000,Stockport,,Columbia,104401,Kinderhook,Full Value,"999,761",4.93,"669,351",3.27,"2,503,811",16.77,
2022,2021,105200,Stuyvesant,,Columbia,104401,Kinderhook,Full Value,"1,217,523",4.93,"441,365",1.88,"3,878,226",16.77,
2022,2021,105200,Stuyvesant,,Columbia,384401,Schodack,Full Value,"1,217,523",4.93,"441,365",1.88,"135,449",22.47,
2022,2021,105400,Taghkanic,,Columbia,100600,Hudson,Full Value,"1,727,119",4.93,"962,750",2.67,"1,273,132",12.31,
2022,2021,105400,Taghkanic,,Columbia,102801,Taconic Hills,Full Value,"1,727,119",4.93,"962,750",2.67,"2,230,622",10.26,
2022,2021,105400,Taghkanic,,Columbia,103602,Germantown,Full Value,"1,727,119",4.93,"962,750",2.67,"491,086",11.84,
2022,2021,110200,Cortland,,Cortland,110200,Cortland,Full Value,"8,356,282",13.85,"9,297,300",15.4,"10,350,279",16.94,
2022,2021,112000,Cincinnatus,,Cortland,112001,Cincinnatus,Full Value,"866,767",13.85,"111,711",1.89,"951,839",16.03,
2022,2021,112000,Cincinnatus,,Cortland,113401,Marathon,Full Value,"866,767",13.85,"111,711",1.89,"7,281",14.01,
2022,2021,112200,Cortlandville,,Cortland,110200,Cortland,Full Value,"9,731,603",13.85,"2,450,630",3.51,"4,724,723",16.94,
2022,2021,112200,Cortlandville,,Cortland,112204,Mc Graw,Full Value,"9,731,603",13.85,"2,450,630",3.51,"2,111,186",16.38,
2022,2021,112200,Cortlandville,,Cortland,113001,Homer,Full Value,"9,731,603",13.85,"2,450,630",3.51,"4,767,163",17.99,
2022,2021,112200,Cortlandville,,Cortland,502401,Dryden,Full Value,"9,731,603",13.85,"2,450,630",3.51,"764,731",21.72,
2022,2021,112400,Cuyler,,Cortland,112001,Cincinnatus,Full Value,"674,726",13.85,"378,964",5.96,"38,479",16.03,
2022,2021,112400,Cuyler,,Cortland,113001,Homer,Full Value,"674,726",13.85,"378,964",5.96,"85,704",18.00,
2022,2021,112400,Cuyler,,Cortland,252401,De Ruyter,Full Value,"674,726",13.85,"378,964",5.96,"779,755",16.81,
2022,2021,112400,Cuyler,,Cortland,313001,Fabius-Pompey,Full Value,"674,726",13.85,"378,964",5.96,"255,690",24.20,
2022,2021,112600,Freetown,,Cortland,112001,Cincinnatus,Full Value,"593,949",13.85,"303,038",7.77,"98,176",16.03,
2022,2021,112600,Freetown,,Cortland,112204,Mc Graw,Full Value,"593,949",13.85,"303,038",7.77,"40,324",16.38,
2022,2021,112600,Freetown,,Cortland,113401,Marathon,Full Value,"593,949",13.85,"303,038",7.77,"430,081",14.01,
2022,2021,112800,Harford,,Cortland,110200,Cortland,Full Value,"868,676",13.85,"359,490",5.11,"36,728",16.94,
2022,2021,112800,Harford,,Cortland,113401,Marathon,Full Value,"868,676",13.85,"359,490",5.11,"419,600",14.01,
2022,2021,112800,Harford,,Cortland,492602,Newark Valley,Full Value,"868,676",13.85,"359,490",5.11,"9,663",19.74,
2022,2021,112800,Harford,,Cortland,502401,Dryden,Full Value,"868,676",13.85,"359,490",5.11,"821,655",21.72,
2022,2021,113000,Homer,,Cortland,112204,Mc Graw,Full Value,"5,349,586",13.85,"455,626",1.2,"68,541",16.38,
2022,2021,113000,Homer,,Cortland,113001,Homer,Full Value,"5,349,586",13.85,"455,626",1.2,"6,839,752",17.99,
2022,2021,113000,Homer,,Cortland,502801,Groton,Full Value,"5,349,586",13.85,"455,626",1.2,"5,010",19.06,
2022,2021,113200,Lapeer,,Cortland,34401,Whitney Point,Full Value,"913,259",13.85,"535,309",6.05,"8,255",19.21,
2022,2021,113200,Lapeer,,Cortland,110200,Cortland,Full Value,"913,259",13.85,"535,309",6.05,"26,177",16.94,
2022,2021,113200,Lapeer,,Cortland,113401,Marathon,Full Value,"913,259",13.85,"535,309",6.05,"1,211,830",14.01,
2022,2021,113200,Lapeer,,Cortland,492602,Newark Valley,Full Value,"913,259",13.85,"535,309",6.05,"13,009",19.74,
2022,2021,113400,Marathon,,Cortland,112001,Cincinnatus,Full Value,"1,411,548",13.85,"380,343",3.86,"4,099",16.03,
2022,2021,113400,Marathon,,Cortland,113401,Marathon,Full Value,"1,411,548",13.85,"380,343",3.86,"1,374,977",14.01,
2022,2021,113600,Preble,,Cortland,113001,Homer,Full Value,"1,609,823",13.85,"148,452",1.38,"832,021",17.99,
2022,2021,113600,Preble,,Cortland,315402,Tully,Full Value,"1,609,823",13.85,"148,452",1.38,"1,276,892",20.46,
2022,2021,113800,Scott,,Cortland,113001,Homer,Full Value,"955,182",13.85,"252,994",3.65,"1,258,699",17.99,
2022,2021,114000,Solon,,Cortland,112001,Cincinnatus,Full Value,"883,127",13.85,"323,080",4.82,"137,823",16.03,
2022,2021,114000,Solon,,Cortland,112204,Mc Graw,Full Value,"883,127",13.85,"323,080",4.82,"966,296",16.38,
2022,2021,114000,Solon,,Cortland,113001,Homer,Full Value,"883,127",13.85,"323,080",4.82,"6,333",17.99,
2022,2021,114200,Taylor,,Cortland,112001,Cincinnatus,Full Value,"498,503",13.85,"283,324",7.22,"637,714",16.03,
2022,2021,114200,Taylor,,Cortland,112204,Mc Graw,Full Value,"498,503",13.85,"283,324",7.22,"1,382",16.38,
2022,2021,114400,Truxton,,Cortland,112001,Cincinnatus,Full Value,"1,050,242",13.85,"415,610",5.03,"6,190",16.03,
2022,2021,114400,Truxton,,Cortland,112204,Mc Graw,Full Value,"1,050,242",13.85,"415,610",5.03,"19,781",16.38,
2022,2021,114400,Truxton,,Cortland,113001,Homer,Full Value,"1,050,242",13.85,"415,610",5.03,"1,416,768",17.99,
2022,2021,114400,Truxton,,Cortland,315402,Tully,Full Value,"1,050,242",13.85,"415,610",5.03,"59,512",20.46,
2022,2021,114600,Virgil,,Cortland,110200,Cortland,Full Value,"2,668,944",13.85,"648,055",3.18,"2,954,470",16.94,
2022,2021,114600,Virgil,,Cortland,112204,Mc Graw,Full Value,"2,668,944",13.85,"648,055",3.18,"102,320",16.38,
2022,2021,114600,Virgil,,Cortland,113401,Marathon,Full Value,"2,668,944",13.85,"648,055",3.18,"244,824",14.01,
2022,2021,114600,Virgil,,Cortland,502401,Dryden,Full Value,"2,668,944",13.85,"648,055",3.18,"171,767",21.72,
2022,2021,114800,Willet,,Cortland,34401,Whitney Point,Full Value,"768,124",13.85,"212,856",3.89,"21,169",19.21,
2022,2021,114800,Willet,,Cortland,83001,Greene,Full Value,"768,124",13.85,"212,856",3.89,"34,698",16.49,
2022,2021,114800,Willet,,Cortland,112001,Cincinnatus,Full Value,"768,124",13.85,"212,856",3.89,"726,020",16.03,
2022,2021,114800,Willet,,Cortland,113401,Marathon,Full Value,"768,124",13.85,"212,856",3.89,"95,635",14.01,
2022,2021,122000,Andes,,Delaware,122002,Andes,Full Value,"2,606,045",5.6,"1,746,597",3.76,"2,794,199",7.25,
2022,2021,122000,Andes,,Delaware,122401,Downsville,Full Value,"2,606,045",5.6,"1,746,597",3.76,"61,988",9.50,
2022,2021,122000,Andes,,Delaware,122801,Delhi,Full Value,"2,606,045",5.6,"1,746,597",3.76,401,13.47,
2022,2021,122000,Andes,,Delaware,124601,Margaretville,Full Value,"2,606,045",5.6,"1,746,597",3.76,"405,624",8.40,
2022,2021,122000,Andes,,Delaware,484402,Livingston Manor,Full Value,"2,606,045",5.6,"1,746,597",3.76,"405,781",15.71,
2022,2021,122200,Bovina,,Delaware,122002,Andes,Full Value,"953,995",5.6,"756,068",4.43,"261,747",7.25,
2022,2021,122200,Bovina,,Delaware,122801,Delhi,Full Value,"953,995",5.6,"756,068",4.43,"1,426,878",13.47,
2022,2021,122200,Bovina,,Delaware,124601,Margaretville,Full Value,"953,995",5.6,"756,068",4.43,"31,191",8.40,
2022,2021,122200,Bovina,,Delaware,125202,South Kortright,Full Value,"953,995",5.6,"756,068",4.43,"412,845",16.69,
2022,2021,122400,Colchester,,Delaware,122401,Downsville,Full Value,"4,792,611",5.6,"2,437,766",2.85,"7,158,153",9.50,
2022,2021,122400,Colchester,,Delaware,484401,Roscoe,Full Value,"4,792,611",5.6,"2,437,766",2.85,"1,502,696",14.76,
2022,2021,122400,Colchester,,Delaware,484402,Livingston Manor,Full Value,"4,792,611",5.6,"2,437,766",2.85,"40,991",15.71,
2022,2021,122600,Davenport,,Delaware,122601,Charlotte Valley,Full Value,"1,264,835",5.6,"1,078,630",4.82,"2,194,036",13.10,
2022,2021,122600,Davenport,,Delaware,123201,Franklin,Full Value,"1,264,835",5.6,"1,078,630",4.82,"169,618",15.60,
2022,2021,122600,Davenport,,Delaware,361200,Oneonta,Full Value,"1,264,835",5.6,"1,078,630",4.82,"947,802",19.69,
2022,2021,122800,Delhi,,Delaware,122002,Andes,Full Value,"2,011,846",5.6,"1,820,843",5.06,"7,407",7.25,
2022,2021,122800,Delhi,,Delaware,122801,Delhi,Full Value,"2,011,846",5.6,"1,820,843",5.06,"4,802,001",13.47,
2022,2021,122800,Delhi,,Delaware,125202,South Kortright,Full Value,"2,011,846",5.6,"1,820,843",5.06,"49,730",16.69,
2022,2021,123000,Deposit,,Delaware,34201,Deposit,Full Value,"1,969,513",5.6,"1,280,721",3.61,"4,350,905",12.91,
2022,2021,123000,Deposit,,Delaware,123606,Hancock,Full Value,"1,969,513",5.6,"1,280,721",3.61,"232,737",12.42,
2022,2021,123200,Franklin,,Delaware,122801,Delhi,Full Value,"1,302,871",5.6,"1,265,208",5.46,"765,867",13.47,
2022,2021,123200,Franklin,,Delaware,123201,Franklin,Full Value,"1,302,871",5.6,"1,265,208",5.46,"2,499,289",15.60,
2022,2021,123200,Franklin,,Delaware,125001,Sidney,Full Value,"1,302,871",5.6,"1,265,208",5.46,"43,579",14.07,
2022,2021,123200,Franklin,,Delaware,125601,Walton,Full Value,"1,302,871",5.6,"1,265,208",5.46,"163,387",12.19,
2022,2021,123200,Franklin,,Delaware,364801,Otego-Unadilla,Full Value,"1,302,871",5.6,"1,265,208",5.46,"3,075",19.15,
2022,2021,123400,Hamden,,Delaware,122002,Andes,Full Value,"1,022,947",5.6,"895,873",4.93,"2,519",7.25,
2022,2021,123400,Hamden,,Delaware,122401,Downsville,Full Value,"1,022,947",5.6,"895,873",4.93,"405,196",9.50,
2022,2021,123400,Hamden,,Delaware,122801,Delhi,Full Value,"1,022,947",5.6,"895,873",4.93,"1,131,358",13.47,
2022,2021,123400,Hamden,,Delaware,125601,Walton,Full Value,"1,022,947",5.6,"895,873",4.93,"691,282",12.19,
2022,2021,123600,Hancock,,Delaware,122401,Downsville,Full Value,"2,593,469",5.6,"2,546,687",5.47,"618,794",9.50,
2022,2021,123600,Hancock,,Delaware,123606,Hancock,Full Value,"2,593,469",5.6,"2,546,687",5.47,"3,500,239",12.42,
2022,2021,123600,Hancock,,Delaware,484401,Roscoe,Full Value,"2,593,469",5.6,"2,546,687",5.47,"698,094",14.76,
2022,2021,123600,Hancock,,Delaware,484802,Sullivan West,Full Value,"2,593,469",5.6,"2,546,687",5.47,"935,365",12.88,
2022,2021,123800,Harpersfield,,Delaware,122601,Charlotte Valley,Full Value,"884,569",5.6,"1,016,009",6.46,"288,110",13.10,
2022,2021,123800,Harpersfield,,Delaware,125201,Stamford,Full Value,"884,569",5.6,"1,016,009",6.46,"1,813,888",17.48,
2022,2021,123800,Harpersfield,,Delaware,125202,South Kortright,Full Value,"884,569",5.6,"1,016,009",6.46,"146,564",16.69,
2022,2021,123800,Harpersfield,,Delaware,366606,Worcester,Full Value,"884,569",5.6,"1,016,009",6.46,"2,696",19.34,
2022,2021,123800,Harpersfield,,Delaware,433601,Jefferson,Full Value,"884,569",5.6,"1,016,009",6.46,"371,330",15.88,
2022,2021,124000,Kortright,,Delaware,122601,Charlotte Valley,Full Value,"914,093",5.6,"1,011,489",6.24,"273,035",13.10,
2022,2021,124000,Kortright,,Delaware,122801,Delhi,Full Value,"914,093",5.6,"1,011,489",6.24,"49,768",13.47,
2022,2021,124000,Kortright,,Delaware,125201,Stamford,Full Value,"914,093",5.6,"1,011,489",6.24,"288,256",17.48,
2022,2021,124000,Kortright,,Delaware,125202,South Kortright,Full Value,"914,093",5.6,"1,011,489",6.24,"1,963,982",16.69,
2022,2021,124000,Kortright,,Delaware,433601,Jefferson,Full Value,"914,093",5.6,"1,011,489",6.24,"78,954",15.88,
2022,2021,124200,Masonville,,Delaware,34201,Deposit,Full Value,"595,087",5.6,"792,582",6.53,"75,816",12.91,
2022,2021,124200,Masonville,,Delaware,82201,Bainbridge-Guilford,Full Value,"595,087",5.6,"792,582",6.53,"249,355",19.88,
2022,2021,124200,Masonville,,Delaware,125001,Sidney,Full Value,"595,087",5.6,"792,582",6.53,"1,391,429",14.07,
2022,2021,124200,Masonville,,Delaware,125601,Walton,Full Value,"595,087",5.6,"792,582",6.53,"76,524",12.19,
2022,2021,124400,Meredith,,Delaware,122601,Charlotte Valley,Full Value,"813,062",5.6,"938,562",6.53,"177,338",13.10,
2022,2021,124400,Meredith,,Delaware,122801,Delhi,Full Value,"813,062",5.6,"938,562",6.53,"1,650,073",13.47,
2022,2021,124400,Meredith,,Delaware,123201,Franklin,Full Value,"813,062",5.6,"938,562",6.53,"115,756",15.60,
2022,2021,124400,Meredith,,Delaware,125202,South Kortright,Full Value,"813,062",5.6,"938,562",6.53,"35,058",16.69,
2022,2021,124600,Middletown,,Delaware,122002,Andes,Full Value,"4,150,872",5.6,"2,998,921",4.05,"6,126",7.25,
2022,2021,124600,Middletown,,Delaware,124601,Margaretville,Full Value,"4,150,872",5.6,"2,998,921",4.05,"5,621,667",8.40,
2022,2021,124600,Middletown,,Delaware,124802,Roxbury,Full Value,"4,150,872",5.6,"2,998,921",4.05,"809,711",11.18,
2022,2021,124800,Roxbury,,Delaware,124601,Margaretville,Full Value,"2,811,703",5.6,"2,267,641",4.52,"177,781",8.40,
2022,2021,124800,Roxbury,,Delaware,124802,Roxbury,Full Value,"2,811,703",5.6,"2,267,641",4.52,"5,144,628",11.18,
2022,2021,124800,Roxbury,,Delaware,125201,Stamford,Full Value,"2,811,703",5.6,"2,267,641",4.52,"49,657",17.48,
2022,2021,124800,Roxbury,,Delaware,433401,Gilboa-Conesville,Full Value,"2,811,703",5.6,"2,267,641",4.52,"226,824",11.61,
2022,2021,125000,Sidney,,Delaware,82201,Bainbridge-Guilford,Full Value,"1,797,103",5.6,"1,177,386",3.71,"11,452",19.88,
2022,2021,125000,Sidney,,Delaware,123201,Franklin,Full Value,"1,797,103",5.6,"1,177,386",3.71,"117,777",15.60,
2022,2021,125000,Sidney,,Delaware,125001,Sidney,Full Value,"1,797,103",5.6,"1,177,386",3.71,"3,884,179",14.07,
2022,2021,125000,Sidney,,Delaware,125601,Walton,Full Value,"1,797,103",5.6,"1,177,386",3.71,965,12.19,
2022,2021,125000,Sidney,,Delaware,364801,Otego-Unadilla,Full Value,"1,797,103",5.6,"1,177,386",3.71,"713,323",19.15,
2022,2021,125200,Stamford,,Delaware,125201,Stamford,Full Value,"1,051,868",5.6,"886,916",4.73,"896,652",17.48,
2022,2021,125200,Stamford,,Delaware,125202,South Kortright,Full Value,"1,051,868",5.6,"886,916",4.73,"2,302,891",16.69,
2022,2021,125400,Tompkins,,Delaware,34201,Deposit,Full Value,"1,070,024",5.6,"1,048,090",5.42,"811,632",12.91,
2022,2021,125400,Tompkins,,Delaware,122401,Downsville,Full Value,"1,070,024",5.6,"1,048,090",5.42,"19,992",9.50,
2022,2021,125400,Tompkins,,Delaware,123606,Hancock,Full Value,"1,070,024",5.6,"1,048,090",5.42,"353,880",12.42,
2022,2021,125400,Tompkins,,Delaware,125601,Walton,Full Value,"1,070,024",5.6,"1,048,090",5.42,"1,232,431",12.19,
2022,2021,125600,Walton,,Delaware,122401,Downsville,Full Value,"2,231,930",5.6,"1,317,204",3.33,"109,568",9.50,
2022,2021,125600,Walton,,Delaware,123201,Franklin,Full Value,"2,231,930",5.6,"1,317,204",3.33,"49,348",15.60,
2022,2021,125600,Walton,,Delaware,125001,Sidney,Full Value,"2,231,930",5.6,"1,317,204",3.33,707,14.07,
2022,2021,125600,Walton,,Delaware,125601,Walton,Full Value,"2,231,930",5.6,"1,317,204",3.33,"4,691,411",12.19,
2022,2021,130200,Beacon,,Dutchess,130200,Beacon,Full Value,"4,356,801",2.96,"12,293,218",8.02,"24,103,377",15.71,
2022,2021,131300,Poughkeepsie,,Dutchess,131300,Poughkeepsie,Full Value,"5,408,797",2.96,"25,858,658",13.09,"31,029,290",15.72,
2022,2021,132000,Amenia,,Dutchess,132602,Dover,Full Value,"2,762,988",2.96,"1,954,564",2.02,"1,348,772",19.92,
2022,2021,132000,Amenia,,Dutchess,133801,Northeast,Full Value,"2,762,988",2.96,"1,954,564",2.02,"9,946,782",10.97,
2022,2021,132200,Beekman,,Dutchess,134001,Pawling,Full Value,"4,723,715",2.96,"2,555,789",1.79,"702,453",23.82,
2022,2021,132200,Beekman,,Dutchess,134601,Arlington,Full Value,"4,723,715",2.96,"2,555,789",1.79,"33,685,968",23.55,
2022,2021,132400,Clinton,,Dutchess,133201,Hyde Park,Full Value,"2,312,237",2.96,"1,711,897",2.11,"7,967,411",21.61,
2022,2021,132400,Clinton,,Dutchess,134201,Pine Plains,Full Value,"2,312,237",2.96,"1,711,897",2.11,"603,984",12.94,
2022,2021,132400,Clinton,,Dutchess,135001,Rhinebeck,Full Value,"2,312,237",2.96,"1,711,897",2.11,"4,297,776",13.89,
2022,2021,132400,Clinton,,Dutchess,135801,Millbrook,Full Value,"2,312,237",2.96,"1,711,897",2.11,"1,376,840",15.37,
2022,2021,132600,Dover,,Dutchess,132602,Dover,Full Value,"2,213,365",2.96,"2,825,109",3.65,"14,812,336",19.92,
2022,2021,132600,Dover,,Dutchess,133801,Northeast,Full Value,"2,213,365",2.96,"2,825,109",3.65,"30,692",10.97,
2022,2021,132600,Dover,,Dutchess,134001,Pawling,Full Value,"2,213,365",2.96,"2,825,109",3.65,"787,339",23.82,
2022,2021,132800,East Fishkill,,Dutchess,134001,Pawling,Full Value,"12,913,767",2.96,"15,737,849",3.48,"283,877",23.82,
2022,2021,132800,East Fishkill,,Dutchess,134601,Arlington,Full Value,"12,913,767",2.96,"15,737,849",3.48,"6,771,519",22.75,
2022,2021,132800,East Fishkill,,Dutchess,135601,Wappingers,Full Value,"12,913,767",2.96,"15,737,849",3.48,"67,270,340",17.42,
2022,2021,132800,East Fishkill,,Dutchess,372002,Carmel,Full Value,"12,913,767",2.96,"15,737,849",3.48,"9,341,560",25.47,
2022,2021,133000,Fishkill,,Dutchess,130200,Beacon,Full Value,"7,353,809",2.96,"8,526,073",2.99,"15,289,237",16.09,
2022,2021,133000,Fishkill,,Dutchess,135601,Wappingers,Full Value,"7,353,809",2.96,"8,526,073",2.99,"35,892,150",18.38,
2022,2021,133000,Fishkill,,Dutchess,372601,Haldane,Full Value,"7,353,809",2.96,"8,526,073",2.99,"274,772",17.13,
2022,2021,133200,Hyde Park,,Dutchess,133201,Hyde Park,Full Value,"7,981,131",2.96,"6,904,567",3.68,"40,688,868",21.61,
2022,2021,133200,Hyde Park,,Dutchess,134601,Arlington,Full Value,"7,981,131",2.96,"6,904,567",3.68,"192,461",26.66,
2022,2021,133200,Hyde Park,,Dutchess,135001,Rhinebeck,Full Value,"7,981,131",2.96,"6,904,567",3.68,"328,402",13.89,
2022,2021,133400,La Grange,,Dutchess,134601,Arlington,Full Value,"5,914,266",2.96,"7,795,684",3.76,"45,800,242",23.81,
2022,2021,133400,La Grange,,Dutchess,135601,Wappingers,Full Value,"5,914,266",2.96,"7,795,684",3.76,"2,036,780",17.04,
2022,2021,133400,La Grange,,Dutchess,135801,Millbrook,Full Value,"5,914,266",2.96,"7,795,684",3.76,"890,532",15.37,
2022,2021,133600,Milan,,Dutchess,134201,Pine Plains,Full Value,"1,541,976",2.96,"1,576,413",2.91,"2,589,785",12.94,
2022,2021,133600,Milan,,Dutchess,134801,Red Hook,Full Value,"1,541,976",2.96,"1,576,413",2.91,"5,497,715",21.40,
2022,2021,133600,Milan,,Dutchess,135001,Rhinebeck,Full Value,"1,541,976",2.96,"1,576,413",2.91,"1,190,185",13.89,
2022,2021,133800,Northeast,,Dutchess,102801,Taconic Hills,Full Value,"1,709,112",2.96,"2,154,437",3.6,"297,803",10.26,
2022,2021,133800,Northeast,,Dutchess,133801,Northeast,Full Value,"1,709,112",2.96,"2,154,437",3.6,"5,021,587",10.97,
2022,2021,133800,Northeast,,Dutchess,134201,Pine Plains,Full Value,"1,709,112",2.96,"2,154,437",3.6,"1,487,490",12.94,
2022,2021,134000,Pawling,,Dutchess,134001,Pawling,Full Value,"3,492,508",2.96,"4,397,784",3.78,"27,638,611",23.82,
2022,2021,134000,Pawling,,Dutchess,134601,Arlington,Full Value,"3,492,508",2.96,"4,397,784",3.78,"168,461",26.10,
2022,2021,134200,Pine Plains,,Dutchess,134201,Pine Plains,Full Value,"1,163,464",2.96,"1,489,599",3.67,"5,257,577",12.94,
2022,2021,134400,Pleasant Valley,,Dutchess,133201,Hyde Park,Full Value,"3,101,231",2.96,"2,499,890",2.37,"3,093,170",21.61,
