Fiscal Year Ending,Roll Year,SWIS,Municipality,Village,County,School Code,School Name,County Tax Levy,County Tax Rate Outside Village (per $1000 value),Municipality Tax Levy,Municipal Tax Rate Outside Village (per $1000 value),School District Tax Levy,School District Tax Rate (per $1000 value),Village Tax Rate (per $1000 value),MUNI_TYPE,Town,FIPS_CODE,State FIPS,County FIPS,Subdiv FIPS,Place FIPS,POP1990,POP2000,POP2010,POP2020,CALC_SQ_MI
2022,2021,13400,New Scotland,,Albany,12206,Bethlehem,"3,963,984",3.48,"3,110,494",2.73,"5,045,028",20.01,,town,,3600150672,36,001,50672,,9139.0,8626.0,8648.0,9096,58.45083407
2022,2021,13400,New Scotland,,Albany,12402,Ravena-Coeymans-Selkirk,"3,963,984",3.48,"3,110,494",2.73,"1,248,090",18.07,,town,,3600150672,36,001,50672,,9139.0,8626.0,8648.0,9096,58.45083407
2022,2021,13400,New Scotland,,Albany,13002,Guilderland,"3,963,984",3.48,"3,110,494",2.73,"296,326",17.36,,town,,3600150672,36,001,50672,,9139.0,8626.0,8648.0,9096,58.45083407
2022,2021,13400,New Scotland,,Albany,13403,Voorheesville,"3,963,984",3.48,"3,110,494",2.73,"14,690,260",18.12,,town,,3600150672,36,001,50672,,9139.0,8626.0,8648.0,9096,58.45083407
2022,2021,13400,New Scotland,,Albany,193201,Greenville,"3,963,984",3.48,"3,110,494",2.73,"26,405",19.82,,town,,3600150672,36,001,50672,,9139.0,8626.0,8648.0,9096,58.45083407
2022,2021,13600,Rensselaerville,,Albany,12001,Berne-Knox-Westerlo,"856,753",3.48,"1,374,223",5.52,"5,086",15.83,,town,,3600161181,36,001,61181,,1990.0,1915.0,1843.0,1826,61.87496983
2022,2021,13600,Rensselaerville,,Albany,192401,Cairo-Durham,"856,753",3.48,"1,374,223",5.52,"168,971",13.73,,town,,3600161181,36,001,61181,,1990.0,1915.0,1843.0,1826,61.87496983
2022,2021,13600,Rensselaerville,,Albany,193201,Greenville,"856,753",3.48,"1,374,223",5.52,"3,100,635",19.82,,town,,3600161181,36,001,61181,,1990.0,1915.0,1843.0,1826,61.87496983
2022,2021,13600,Rensselaerville,,Albany,433801,Middleburgh,"856,753",3.48,"1,374,223",5.52,"1,640,302",19.64,,town,,3600161181,36,001,61181,,1990.0,1915.0,1843.0,1826,61.87496983
2022,2021,13800,Westerlo,,Albany,12001,Berne-Knox-Westerlo,"1,214,237",3.48,"1,455,053",4.21,"2,398,299",15.83,,town,,3600179851,36,001,79851,,3325.0,3466.0,3361.0,3194,58.52416176
2022,2021,13800,Westerlo,,Albany,193201,Greenville,"1,214,237",3.48,"1,455,053",4.21,"3,929,874",19.84,,town,,3600179851,36,001,79851,,3325.0,3466.0,3361.0,3194,58.52416176
2022,2021,22000,Alfred,,Allegany,22001,Alfred-Almond,"1,427,689",12.62,"615,403",5.35,"2,277,758",21.48,,town,,3600301209,36,003,01209,,5791.0,5140.0,5237.0,5157,31.60262862
2022,2021,22000,Alfred,,Allegany,23001,Andover,"1,427,689",12.62,"615,403",5.35,"202,545",21.20,,town,,3600301209,36,003,01209,,5791.0,5140.0,5237.0,5157,31.60262862
2022,2021,22200,Allen,,Allegany,23202,Genesee Valley,"549,869",12.62,"345,426",7.66,"231,858",13.85,,town,,3600301319,36,003,01319,,406.0,462.0,448.0,494,36.60136574
2022,2021,22200,Allen,,Allegany,23401,Belfast,"549,869",12.62,"345,426",7.66,"149,505",14.63,,town,,3600301319,36,003,01319,,406.0,462.0,448.0,494,36.60136574
2022,2021,22200,Allen,,Allegany,25801,Fillmore,"549,869",12.62,"345,426",7.66,"217,031",11.84,,town,,3600301319,36,003,01319,,406.0,462.0,448.0,494,36.60136574
2022,2021,22400,Alma,,Allegany,26601,Scio,"748,123",12.62,"697,285",11.7,"168,739",17.67,,town,,3600301429,36,003,01429,,846.0,847.0,842.0,781,36.51489248
2022,2021,22400,Alma,,Allegany,27001,Wellsville,"748,123",12.62,"697,285",11.7,"836,405",16.76,,town,,3600301429,36,003,01429,,846.0,847.0,842.0,781,36.51489248
2022,2021,22400,Alma,,Allegany,27602,Bolivar-Richburg,"748,123",12.62,"697,285",11.7,"10,687",13.52,,town,,3600301429,36,003,01429,,846.0,847.0,842.0,781,36.51489248
2022,2021,22600,Almond,,Allegany,22001,Alfred-Almond,"993,541",12.62,"761,838",8.38,"1,423,496",21.48,,town,,3600301451,36,003,01451,,1640.0,1604.0,1633.0,1512,45.76745048
2022,2021,22600,Almond,,Allegany,24002,Canaseraga,"993,541",12.62,"761,838",8.38,"120,199",18.09,,town,,3600301451,36,003,01451,,1640.0,1604.0,1633.0,1512,45.76745048
2022,2021,22600,Almond,,Allegany,465201,Arkport,"993,541",12.62,"761,838",8.38,"359,764",19.07,,town,,3600301451,36,003,01451,,1640.0,1604.0,1633.0,1512,45.76745048
2022,2021,22800,Amity,,Allegany,23202,Genesee Valley,"1,117,110",12.62,"559,505",6.25,"1,169,920",13.85,,town,,3600302011,36,003,02011,,2255.0,2245.0,2308.0,2171,34.61687191
2022,2021,22800,Amity,,Allegany,26601,Scio,"1,117,110",12.62,"559,505",6.25,"126,102",19.81,,town,,3600302011,36,003,02011,,2255.0,2245.0,2308.0,2171,34.61687191
2022,2021,23000,Andover,,Allegany,23001,Andover,"1,008,259",12.62,"580,877",7.23,"1,567,195",21.20,,town,,3600302154,36,003,02154,,1981.0,1945.0,1830.0,1615,39.53713558
2022,2021,23000,Andover,,Allegany,26601,Scio,"1,008,259",12.62,"580,877",7.23,"4,941",18.67,,town,,3600302154,36,003,02154,,1981.0,1945.0,1830.0,1615,39.53713558
2022,2021,23000,Andover,,Allegany,27001,Wellsville,"1,008,259",12.62,"580,877",7.23,"82,043",16.76,,town,,3600302154,36,003,02154,,1981.0,1945.0,1830.0,1615,39.53713558
2022,2021,23000,Andover,,Allegany,463202,Canisteo-Greenwood,"1,008,259",12.62,"580,877",7.23,"33,062",15.18,,town,,3600302154,36,003,02154,,1981.0,1945.0,1830.0,1615,39.53713558
2022,2021,23200,Angelica,,Allegany,23202,Genesee Valley,"992,909",12.62,"339,310",4.22,"1,085,012",13.85,,town,,3600302187,36,003,02187,,1446.0,1411.0,1403.0,1272,36.47665612
2022,2021,23200,Angelica,,Allegany,23401,Belfast,"992,909",12.62,"339,310",4.22,"40,872",14.63,,town,,3600302187,36,003,02187,,1446.0,1411.0,1403.0,1272,36.47665612
2022,2021,23400,Belfast,,Allegany,23202,Genesee Valley,"881,850",12.62,"891,755",12.45,"23,383",13.85,,town,,3600305573,36,003,05573,,1539.0,1714.0,1663.0,1637,36.59406082
2022,2021,23400,Belfast,,Allegany,23401,Belfast,"881,850",12.62,"891,755",12.45,"968,673",14.63,,town,,3600305573,36,003,05573,,1539.0,1714.0,1663.0,1637,36.59406082
2022,2021,23400,Belfast,,Allegany,24801,Cuba-Rushford,"881,850",12.62,"891,755",12.45,"49,543",12.69,,town,,3600305573,36,003,05573,,1539.0,1714.0,1663.0,1637,36.59406082
2022,2021,23400,Belfast,,Allegany,25001,Friendship,"881,850",12.62,"891,755",12.45,"13,403",19.26,,town,,3600305573,36,003,05573,,1539.0,1714.0,1663.0,1637,36.59406082
2022,2021,23600,Birdsall,,Allegany,23202,Genesee Valley,"321,750",12.62,"232,875",6.25,"173,029",13.85,,town,,3600306717,36,003,06717,,232.0,268.0,221.0,190,36.08485358
2022,2021,23600,Birdsall,,Allegany,24002,Canaseraga,"321,750",12.62,"232,875",6.25,"369,171",18.09,,town,,3600306717,36,003,06717,,232.0,268.0,221.0,190,36.08485358
2022,2021,23600,Birdsall,,Allegany,25801,Fillmore,"321,750",12.62,"232,875",6.25,"9,432",11.84,,town,,3600306717,36,003,06717,,232.0,268.0,221.0,190,36.08485358
2022,2021,23600,Birdsall,,Allegany,465201,Arkport,"321,750",12.62,"232,875",6.25,"73,810",19.07,,town,,3600306717,36,003,06717,,232.0,268.0,221.0,190,36.08485358
2022,2021,23800,Bolivar,,Allegany,26601,Scio,"993,776",12.62,"615,378",7.83,"65,005",18.87,,town,,3600307201,36,003,07201,,2361.0,2223.0,2189.0,2029,35.92025062
2022,2021,23800,Bolivar,,Allegany,27602,Bolivar-Richburg,"993,776",12.62,"615,378",7.83,"1,036,574",13.52,,town,,3600307201,36,003,07201,,2361.0,2223.0,2189.0,2029,35.92025062
2022,2021,24000,Burns,,Allegany,24002,Canaseraga,"665,046",12.62,"514,548",9.39,"934,547",18.09,,town,,3600311253,36,003,11253,,1299.0,1248.0,1180.0,1036,27.28044446
2022,2021,24000,Burns,,Allegany,465201,Arkport,"665,046",12.62,"514,548",9.39,"75,826",19.07,,town,,3600311253,36,003,11253,,1299.0,1248.0,1180.0,1036,27.28044446
2022,2021,24200,Caneadea,,Allegany,23401,Belfast,"1,237,065",12.62,"1,188,306",11.84,"596,325",14.63,,town,,3600312243,36,003,12243,,2551.0,2694.0,2542.0,2294,36.36864698
2022,2021,24200,Caneadea,,Allegany,24801,Cuba-Rushford,"1,237,065",12.62,"1,188,306",11.84,"239,455",12.69,,town,,3600312243,36,003,12243,,2551.0,2694.0,2542.0,2294,36.36864698
